1,Седан
1,Универсал
1,Хетчбэк
1,Купе
1,Лимузин
1,Минивэн
2,Передний
2,Задний
2,Полный
3,Ткань
3,Велюр
3,Кожа
3,Комбинированный
4,Бензин
4,Дизель
4,Гибрид
4,Бензин / Газ
4,Электро
4,Ротор
4,Двухтактный
5,Левый
5,Правый
6,Механическая
6,Автоматическая
6,Роботизированная
6,Вариатор
7,Оригинал
7,Дубликат
8,Не указано
8,Один
8,Два
8,Три и более
9,Черный
9,Белый
9,Серый
9,Серебрянный
9,Красный
9,Коричневый
9,Бежевый
9,Желтый
9,Голубой
9,Зеленый
9,Золотой
9,Оранжевый
9,Пурпурный
9,Розовый
9,Синий
9,Фиолетовый
10,Не указано
10,Новый
10,С пробегом
10,Требует ремонта
11,Летние
11,Зимние
12,Автосвет
12,Аккумуляторы
12,Двигатель
12,Запчасти для ТО
12,Кузов
12,Подвеска
12,Рулевое управление
12,Салон
12,Стекла
12,Топливная и выхлопная системы
12,Тормозная система
12,Трансмиссия и привод
12,Электрооборудование
13,Новая
13,Б/у
14,Всесезонные
14,Зимние шипованные
14,Зимние нешипованные
14,Летние
15,Кованые
15,Литые
15,Штампованные
15,Спицованные
15,Сборные
16,98
16,100
16,105
16,108
16,110
16,112
16,114.3
16,115
16,118
16,120
16,125
16,127
16,130
16,135
16,139
16,139.7
16,140
16,150
16,160
16,165
16,165.1
16,170
16,180
16,200
16,205
16,256
17,-65
17,-50
17,-44
17,-40
17,-36
17,-35
17,-32
17,-30
17,-28
17,-25
17,-24
17,-22
17,-20
17,-16
17,-15
17,-14
17,-13
17,-12
17,-10
17,-8
17,-7
17,-6
17,-5
17,-2
17,0
17,1
17,2
17,3
17,4
17,5
17,6
17,7
17,8
17,9
17,10
17,11
17,12
17,13
17,14
17,15
17,16
17,17
17,18
17,19
17,20
17,21
17,22
17,23
17,23.5
17,24
17,25
17,26
17,27
17,28
17,29
17,30
17,31
17,31.5
17,32
17,33
17,34
17,35
17,36
17,36.5
17,37
17,37.5
17,38
17,39
17,39.5
17,40
17,40.5
17,41
17,41.3
17,41.5
17,42
17,43
17,43.5
17,43.8
17,44
17,45
17,45.5
17,46
17,47
17,47.5
17,48
17,49
17,49.5
17,50
17,50.5
17,50.8
17,51
17,52
17,52.2
17,52.5
17,53
17,54
17,55
17,56
17,57
17,58
17,59
17,60
17,62
17,63
17,65
17,66
17,67
17,68
17,70
17,75
17,83
17,100
17,102
17,105
17,105.5
17,106
17,107
17,108
17,110
17,111
17,115
17,116
17,118
17,120
17,123
17,124
17,125
17,126
17,127
17,128
17,129
17,130
17,132
17,133
17,134
17,135
17,136
17,138
17,140
17,142
17,143
17,144
17,145
17,147
17,148
17,152
17,156
17,157
17,161
17,163
17,165
17,167
17,168
17,172
17,175
17,185
